Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840583790505099264;CFFC DivL I;https://sleeper.app/i/EdYY2RkwzeXb;forellenfoensi;JoeyMain;Roarks;ElisCurse;Fleaflicker78;Heisterkamp;meanmachine792;curuba;toffel11;kraki08;green80huthut;juenk;;;;
840583856909328384;CFFC DivL II;https://sleeper.app/i/QdkkqDJaE4X0;JdiMndTrks;SGEPacker;Fuchsi0815;derkerl;m2p;joker1411;Sarkeron;fsteju;vikesforever;copholger;donsta911;LukasLSE;;;;
840583913515659264;CFFC DivL III;https://sleeper.app/i/EdYY2JY56M90;kevsonponte;becks91;jrnity;Mrbilsen;mmmarkus;Mareks49ers;Semsen417;tobej;philipps21;hppaxton87;bigoudea;chaefer77;;;;
840583974635020288;CFFC DivL IV;https://sleeper.app/i/YdEEwAbb3g9N;PatrikGER;nh4;pfosten05;AMFG14;brax22;effeseftiamidis;cheeseheadfighter;whodatnation67;nicom1995;Matthes98;elrik73;benblack83;;;;
840584034403868672;CFFC DivL V;https://sleeper.app/i/Vdww5BZloZeM;Stiefel555;stewiss81;MarvHawks;coltssge;mig7179;Bismarck7;SuperCrew49;matzken;FlinkesFrettchen;ChrisBur;Yannik317;kobej;;;;
840584089730912256;CFFC DivL VI;https://sleeper.app/i/kLAABMGEYboK;Sizzl;urrr;MSUspartan16;Pantherbanter;Marcel73;Nimpscher;fritte;chuquet;eCliX;adalmar69;Panne;leander123;;;;
840584150829355008;CFFC DivL VII;https://sleeper.app/i/LdPPnkjeJKm3;Sifflord;h0peless;brettfeld;lecramo;Schneider09;SharcoRaiders;lluigii;marqs;Bogdan76;Vienna;h31k0;Parka;;;;
840584201756573696;CFFC DivL VIII;https://sleeper.app/i/LdPPnXnKzo4O;RedzoneRenfrow;jakoe;chris2002;49ersms;atrakce;BigBenSteelers;ArchyAndy;lucaneurube;thisisjrn;brokkolix;swenzel89;mkac;;;;
840584270702546944;CFFC DivL IX;https://sleeper.app/i/YdEExwVwX1QN;Stieselbaert;viennacheesehead;jamesbradawick;Marcelbl;RealCoachAB;Knobi84;TheWall13;naptoon;noboeltzki;creeper1993;livewire666;cubbi;;;;
840584327216607232;CFFC DivL X;https://sleeper.app/i/0qKKOe52j6mX;finntastic10;ballerxlsc30;mv9756;K1Marcel;Luxushans;uepsilon;Steffmeff;tammbaybucs;dannydimes4mvp;Scotthandsome;ThenisGood;nz99;;;;
